SampleID	BarcodePair	SampleName	AddInfo1
S01_Rep1	barcode01	S01	
S02_Rep1	barcode02	S02	
S03_Rep1	barcode03	S03	
S04_Rep1	barcode04	S04	
S05_Rep1	barcode05	S05	
S06_Rep1	barcode06	S06	
S07_Rep1	barcode07	S07	
S08_Rep1	barcode08	S08	
S09_Rep1	barcode09	S09	
S10_Rep1	barcode10	S10	
S11_Rep1	barcode11	S11	
S12_Rep1	barcode12	S12	
S13_Rep1	barcode13	S13	
S14_Rep1	barcode14	S14	
S15_Rep1	barcode15	S15	
S16_Rep1	barcode16	S16	
S17_Rep1	barcode17	S17	
S18_Rep1	barcode18	S18	
S19_Rep1	barcode19	S19	
S20_Rep1	barcode20	S20	
S21_Rep1	barcode21	S21	
S22_Rep1	barcode22	S22	
S23_Rep1	barcode23	S23	
S01_Rep2	barcode25	S01	
S02_Rep2	barcode26	S02	
S03_Rep2	barcode27	S03	
S04_Rep2	barcode28	S04	
S05_Rep2	barcode29	S05	
S06_Rep2	barcode30	S06	
S07_Rep2	barcode31	S07	
S08_Rep2	barcode32	S08	
S09_Rep2	barcode33	S09	
S10_Rep2	barcode34	S10	
S11_Rep2	barcode35	S11	
S12_Rep2	barcode36	S12	
S13_Rep2	barcode37	S13	
S14_Rep2	barcode38	S14	
S15_Rep2	barcode39	S15	
S16_Rep2	barcode40	S16	
S17_Rep2	barcode41	S17	
S18_Rep2	barcode42	S18	
S19_Rep2	barcode43	S19	
S20_Rep2	barcode44	S20	
S21_Rep2	barcode45	S21	
S22_Rep2	barcode46	S22	
S23_Rep2	barcode47	S23	
NTC_01	barcode73	NTC	
NTC_02	barcode74	NTC	
